"TIPO CAPACITACIÓN (CURSO, TALLER)","MODALIDAD (PRESENCIAL, VIRTUAL)",TEMÁTICA DEL CURSO O TALLER,COMPONENTE SNA,FECHA DE REALIZACIÓN,Mes,Trimestre,Género,Edad,Nivel de Gobierno (de la entidad),Departamento (donde se ubica la entidad - UE),¿A qué sector pertenece su entidad?,Área donde labora en la entidad,Puesto que ocupa en la entidad,Las funciones / actividades principales que desarrolla en el puesto están relacionadas a:,Estudios,¿CUÁL ES SU MODALIDAD DE CONTRATACIÓN EN LA ENTIDAD?,Nombre de la entidad (Unidad Ejecutora),Codigo UE,persona_id
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Mayor a 61 años,Regional,Amazonas,Educación,Patrimonio,Asistente,Administración de Bienes Muebles - Patrimonio,Superior Universitario,DL 276,DIRECCION REGIONAL DE EDUCACION DE AMAZONAS CHACHAPOYAS,724,00a3691a07ea
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 20 y 30 años,Local,Amazonas,Gobiernos Locales,Abastecimiento,Especialista,Otras actividades,Superior Universitario,Otros,MUNICIPALIDAD DISTRITAL DE IMAZA,300026,6a286dd22aa2
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Cajamarca,Educación,Adquisiciones,Jefe,Otras actividades,Superior Universitario,CAS,UNIDAD DE GESTION EDUCATIVA LOCAL SAN MIGUEL,1383,d94e61a98dd7
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Local,Piura,Gobiernos Locales,Abastecimiento,Asistente,"Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles, Otras actividades",Superior Universitario,Otros,MUNICIPALIDAD DISTRITAL DE LA ARENA,301534,1c9622f370e9
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 51 y 60 años,Regional,Piura,Salud,Logística,Asistente,Gestión de Adquisiciones,Superior Universitario,DL 276,DIRECCION REGIONAL DE SALUD PIURA,899,d083edec1359
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Regional,Amazonas,Gobiernos Regionales,Programación,Asistente,Planeamiento y Programación,Superior Universitario,Otros,GERENCIA SUB REGIONAL DE UTCUBAMBA,1429,4347eb6b79df
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Regional,Tumbes,Salud,Patrimonio,Asistente,Otras actividades,Cursando Estudios,CAS,UNIDAD EJECUTORA N° 402 - HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II 2,1436,82a7a3ce27af
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Regional,Tumbes,Gobiernos Regionales,Administración,Especialista,Gestión de Adquisiciones,Superior Universitario,DL 276,GOBIERNO REGIONAL TUMBES,936,1436e91844e4
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Amazonas,Educación,Abastecimiento,Asistente,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles, Otras actividades",Superior No Universitario,Otros,UNIDAD DE GESTION EDUCATIVA LOCAL DE BAGUA,1349,6ec554d5eeca
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Cajamarca,Gobiernos Locales,Patrimonio,Jefe,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,MUNICIPALIDAD DISTRITAL DE LOS BAÑOS DEL INCA,300556,b1465ac4ea78
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Local,Amazonas,Otros,Almacén,Responsable De Almacen,"Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior No Universitario,CAS,MUNICIPALIDAD DISTRITAL DE OMIA,300074,d7cd907a10b4
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Local,Amazonas,Gobiernos Locales,Patrimonio,Asistente,Administración de Bienes Muebles - Patrimonio,Superior Universitario,Otros,MUNICIPALIDAD PROVINCIAL DE LUYA LAMUD,300043,225db362f089
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Regional,Tumbes,Salud,Patrimonio,Jefe,"Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,DL 276,UNIDAD EJECUTORA N° 402 - HOSPITAL REGIONAL JOSE ALFREDO MENDOZA OLAVARRIA JAMO II 2,1436,f21797f58c51
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Local,Cajamarca,Gobiernos Locales,Unidad De Control Y Registro Patrimonial,Responsable,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,DL 276,MUNICIPALIDAD DISTRITAL DE BELLAVISTA,301574,6ac1b6c596c2
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Regional,Ancash,Salud,Patrimonio,Jefe,Administración de Bienes Inmuebles,Superior Universitario,DL 276,DIRECCION DE RED DE SALUD HUAYLAS NORTE,744,1387fab58980
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,La Libertad,Educación,Administración,Especialista,"Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,UNIDAD DE GESTION EDUCATIVA LOCAL JULCAN,309,68220ccc0668
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Nacional,La Libertad,Cultura,Patrimonio,Especialista,"Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,UNIDAD EJECUTORA N° 007 - MARCAHUAMACHUCO,1371,01f45e327659
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Opd,La Libertad,Otros,Contabilidad,Jefe,Otras actividades,Maestría En Gestión Pública,DL 728,SERVICIO DE GESTION AMBIENTAL DE TRUJILLO (SEGAT),500303,eb5b79a25fd4
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Ancash,Gobiernos Locales,Abastecimiento,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,Otros,MUNICIPALIDAD DISTRITAL DE UCO,300165,22cb650339b6
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Nacional,Ancash,Educación,Patrimonio,Jefe,Administración de Bienes Muebles - Patrimonio,Superior Universitario,CAS,UNIVERSIDAD NACIONAL DEL SANTA (UNS),114,dd85ceed6b53
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Nacional,Ancash,Poder Judicial,Patrimonio,Asistente,Administración de Bienes Muebles - Patrimonio,Superior Universitario,CAS,CORTE SUPERIOR DE JUSTICIA DEL SANTA,1470,b4a77e1af05d
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,La Libertad,Gobiernos Locales,Patrimonio,Especialista,Administración de Bienes Inmuebles,Superior Universitario,CAS,MUNICIPALIDAD DISTRITAL DE VICTOR LARCO HERRERA,301137,67c44794b69f
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Regional,Lambayeque,Gobiernos Regionales,Patrimonio,Asistente,Administración de Bienes Muebles - Patrimonio,Superior No Universitario,DL 276,GERENCIA REGIONAL DE AGRICULTURA,856,3c31c790780b
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Ancash,Gobiernos Locales,Logística,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones",Superior Universitario,CAS,MUNICIPALIDAD PROVINCIAL DE YUNGAY,300243,11115cba49e6
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 51 y 60 años,Local,Lambayeque,Gobiernos Locales,Patrimonio,Coordinador,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,DL 276,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE,301238,e6e24d32aaab
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Regional,La Libertad,Gobiernos Regionales,Patrimonio,Especialista,Administración de Bienes Muebles - Patrimonio,Superior Universitario,DL 276,GERENCIA REGIONAL DE TRANSPORTES Y COMUNICACIONES DE LA LIBERTAD,833,b56fac9d58ed
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,La Libertad,Gobiernos Locales,Logística,Responsable,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles, Otras actividades",Superior Universitario,Otros,MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE CHUCA,301203,0b58335345ce
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Regional,La Libertad,Transportes y Comunicaciones,Patrimonio,Jefe,Administración de Bienes Muebles - Patrimonio,Superior Universitario,DL 276,GERENCIA REGIONAL DE TRANSPORTES Y COMUNICACIONES DE LA LIBERTAD,833,e766de48dbd6
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Nacional,Lambayeque,Agricultura y Riego,Patrimonio,Responsable,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,DL 728,ESTACION EXPERIMENTAL AGRARIA VISTA FLORIDA LAMBAYEQUE,1450,92cf8f1c4f5b
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 20 y 30 años,Local,La Libertad,Gobiernos Locales,Patrimonio,Asistente,Administración de Bienes Muebles - Patrimonio,Superior Universitario,Otros,MUNICIPALIDAD DISTRITAL DE CHILLIA,301178,f04e5f38186a
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Regional,Lambayeque,Gobiernos Regionales,Patrimonio,Jefe,Administración de Bienes Muebles - Patrimonio,Superior Universitario,DL 276,GOBIERNO REGIONAL LAMBAYEQUE,885,6ad6f00f02eb
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Nacional,Ancash,Educación,Patrimonio,Asistente,Administración de Bienes Muebles - Patrimonio,Superior Universitario,Otros,UNIVERSIDAD NACIONAL DEL SANTA (UNS),114,938a0be03414
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Nacional,Ancash,Poder Judicial,Patrimonio,Asistente,Administración de Bienes Muebles - Almacenamiento y Distribución,Superior Universitario,CAS,CORTE SUPERIOR DE JUSTICIA DE ANCASH,1471,1cb1eec6d965
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Opd,La Libertad,Salud,Patrimonio,Asistente,"Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio",Superior Universitario,Otros,SERVICIOS PERIFERICOS TRUJILLO,854,3a99f4e29f1c
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Local,Ancash,Otros,Logística,Asistente,Otras actividades,Superior No Universitario,Otros,MUNICIPALIDAD DISTRITAL DE HUALLANCA,300117,b28c401d5b2f
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Nacional,Ancash,Poder Judicial,Patrimonio,Jefe,Administración de Bienes Muebles - Patrimonio,Superior Universitario,DL 728,CORTE SUPERIOR DE JUSTICIA DEL SANTA,1470,b0615bd5d042
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Ancash,Educación,Patrimonio,Especialista,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,UNIDADES DE GESTION EDUCATIVA LOCAL DE SANTA,730,a06c220ad7ef
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Mayor a 61 años,Regional,Ancash,Gobiernos Regionales,Administración,Sub Gerente,Otras actividades,Superior Universitario,DL 728,TERMINAL PORTUARIO DE CHIMBOTE,1445,f8c3325c083e
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Mayor a 61 años,Regional,Lambayeque,Gobiernos Regionales,Patrimonio,Técnico  Administrativo,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Técnico,DL 276,GOBIERNO REGIONAL LAMBAYEQUE,885,c1ea36132f26
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 20 y 30 años,Local,La Libertad,Gobiernos Locales,Almacén,Encargado De Almacen,Administración de Bienes Muebles - Almacenamiento y Distribución,Superior No Universitario,Otros,MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE CHUCA,301203,d5ae4b34d30f
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Regional,La Libertad,Educación,Administración,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Inmuebles",Superior Universitario,DL 276,UNIDAD DE GESTION EDUCATIVA LOCAL DE BOLIVAR,843,3b29885859be
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Nacional,Ancash,Poder Judicial,Patrimonio,Analista,Administración de Bienes Muebles - Patrimonio,Superior Universitario,DL 728,CORTE SUPERIOR DE JUSTICIA DE ANCASH,1471,049f64ee7061
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 51 y 60 años,Local,Lambayeque,Gobiernos Locales,Patrimonio,Secretaria.,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior No Universitario,CAS,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE,301238,2d22159d7422
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Local,La Libertad,Gobiernos Locales,Patrimonio,Asistente,Administración de Bienes Muebles - Patrimonio,Superior Universitario,CAS,MUNICIPALIDAD DISTRITAL DE CACHICADAN,301199,0cbfdfefe0f7
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Regional,Lambayeque,Agricultura y Riego,Patrimonio,Jefe,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,GERENCIA REGIONAL DE AGRICULTURA,856,ecd7327e4ac2
TALLER,VIRTUAL,REGISTRO DE INFORMACIÓN DE BIENES INMUEBLES Y SU ASEGURAMIENTO EN EL REPOSITORIO DE BIENES DE LA DIRECCIÓN GENERAL DE ABASTECIMIENTO,Administración de Bienes - Inmuebles,2026-01-06,2026-01,I Trimestre,Femenino,Mayor a 61 años,Local,La Libertad,Gobiernos Locales,Patrimonio,Jefe,"Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,DL 276,MUNICIPALIDAD DISTRITAL DE CHICAMA,301141,725e2da7c39a
